organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
wOcT7C4Gqzh,Gathanga Health Centre,10214.0,,,4.0,,4.0,
AagM6cS5ef7,Gatimbi Health Centre,12031.0,,,3.0,,3.0,
RPNI2yciVPb,Gatimu Health Centre,18781.0,,,1.0,,1.0,
IXiFtNKHo5f,Gatithi Dispensary,10221.0,off Sagana/Karatina highway,,1.0,,1.0,
WrZYJH3y1Fh,Gatundu Level 5 Hospital,10233.0,,,10.0,4.0,14.0,
dUO3G9O89X7,Gatunyu Dispensary,10234.0,,,4.0,,4.0,
KKndGuWgx1c,Gatura Healh Centre,10236.0,,,1.0,,1.0,
FkB4lcoQfnz,Gede Sub County Hospital,11387.0,,,10.0,1.0,11.0,
PpQmurYqrCk,Gertrudes Childrens Hospital,12950.0,,,4.0,3.0,7.0,
EaAOtVISoLP,Gesusu Sub-County Referral Hospital,13564.0,,,8.0,,8.0,
La4FiUTG0Ed,Geta Bush Health Centre,10244.0,,,2.0,,2.0,
TjAizB1Q3zr,Getare Health Centre,13566.0,,,4.0,2.0,6.0,
BSIVRetkq9o,Getongoroma Dispensary,13569.0,,,1.0,,1.0,
foKJoeEplXv,Gianchore Health Centre,13572.0,,,1.0,,1.0,
JWSHmk8XVoB,Gichiche Health Centre,10249.0,,,3.0,,3.0,
suwoJuHlA2b,Gichira Health Centre,10251.0,,,3.0,1.0,4.0,
HdbugkfTIcQ,Gichuru Dispensary,10252.0,,,,9.0,9.0,
pUcL23obDlW,Gikono Dispensary,16171.0,,2.0,2.0,,4.0,50.0
dx6XwBdUB2q,Gilgil Sub County Hospital,14510.0,Sub County Hospital,1.0,11.0,3.0,15.0,6.666666666666667
xa8ZMxIarv6,Giribe Dispensary,13576.0,,,4.0,1.0,5.0,
ngqqwzhuvjL,Gita Sub County Hospital,13647.0,,1.0,9.0,1.0,11.0,9.090909090909092
SZgImyX0tp9,Githiga Health Centre,10263.0,,,3.0,1.0,4.0,
bGUaAhlsRqp,Githogoro Runda Baptist Clinic (Getrudes Nairobi),18887.0,a facility in Githogoro.,,3.0,,3.0,
XFmkizVkihs,Githongo Sub-County Hospital,12041.0,,,2.0,3.0,5.0,
oau2wlYZlO3,Githumu Hospital,10267.0,,,2.0,,2.0,
rg99yzExwVO,Githunguri Health Centre,10269.0,,,12.0,3.0,15.0,
oywqPDtNrTb,Githunguri Health Centre (Ruiru),16748.0,,,5.0,2.0,7.0,
xMHtgmoaubR,Givole Dispensary,17182.0,,1.0,,,1.0,100.0
LeATvvxVKcP,Givudimbuli Health Centre,15889.0,,,1.0,2.0,3.0,
hcWdD9jFQQf,GK Farm Prisons Health Centre,14514.0,,,1.0,,1.0,
yfk4umSvayX,GK Prison Dispensary (Magarini),11394.0,,1.0,5.0,,6.0,16.666666666666664
kIKjM5pMTat,GK Prisons Dispensary (Busia),15891.0,,,4.0,,4.0,
yanWZpO1esQ,GK Prisons Dispensary (Kakamega Central),15892.0,,,2.0,,2.0,
XdmsyjZT77E,GK Prisons Dispensary (Kibos),13579.0,,,1.0,,1.0,
APRSsUJAVrP,Gobei Health Centre,13581.0,"level 3 facilty in maranda division. By the road Bondo to Kisumu road,just 6 kms from Bondo Town.",,13.0,,13.0,
G44EhGVs2FX,God Jope Dispensary,13582.0,situated in Suba East Division,,9.0,,9.0,
Dp9uga9zfqH,God Kwer Dispensary,13583.0,Situated in Suba West division and its a GOK Facility,,14.0,2.0,16.0,
IlPlC1wPLOt,Godber Health Centre,13584.0,,,1.0,,1.0,
TfsKMWO3CEU,Gombato Dispensary (CDF),16546.0,,,2.0,,2.0,
KRC06WZHgOL,Gongo Health Centre,13587.0,,,2.0,,2.0,
